unix date,volume,fees
"1648684800","74216107.45148118","222648.32235444352"
"1648598400","71710298.79874596","215130.89639623786"
"1648512000","85267532.93461204","255802.5988038361"
"1648425600","72581670.57220007","217745.01171660025"
"1648339200","60081673.080966614","180245.01924289984"
"1648252800","19495995.54046264","58487.98662138792"
"1648166400","77344724.84808612","232034.17454425836"
"1648080000","75794582.58451891","227383.74775355676"
"1647993600","79447198.24865292","238341.59474595875"
"1647907200","71734091.22719614","215202.27368158844"
"1647820800","55082503.16519256","165247.5094955777"
"1647734400","50028777.222679265","150086.3316680378"
"1647648000","39652352.147443034","118957.0564423291"
"1647561600","54571277.92455006","163713.83377365017"
"1647475200","37496133.87782462","112488.40163347387"
"1647388800","118709985.11722296","356129.9553516689"
"1647302400","65234530.13716572","195703.59041149716"
"1647216000","51882088.513712816","155646.26554113845"
"1647129600","40421407.67871448","121264.22303614342"
"1647043200","24923682.18818174","74771.04656454522"
"1646956800","75824285.60334204","227472.85681002613"
"1646870400","83646613.31543224","250939.83994629668"
"1646784000","74380474.59661482","223141.42378984444"
"1646697600","133493390.80297628","400480.1724089288"
"1646611200","112197927.5531912","336593.7826595736"
"1646524800","51826019.65050918","155478.05895152755"
"1646438400","25833416.995220315","77500.25098566094"
"1646352000","71469300.58712715","214407.90176138145"
"1646265600","47077417.3349879","141232.25200496372"
"1646179200","115518728.71153651","346556.18613460957"
"1646092800","82688887.91301113","248066.6637390334"
"1646006400","102176857.84533176","306530.57353599527"
"1645920000","112603138.06808472","337809.41420425416"
"1645833600","61534823.31985886","184604.46995957656"
"1645747200","122673102.67746061","368019.3080323818"
"1645660800","226562353.24165723","679687.0597249717"
"1645574400","72718444.43774103","218155.33331322306"
"1645488000","106904866.64192066","320714.599925762"
"1645401600","144892658.6190451","434677.9758571354"
"1645315200","66579910.897995844","199739.73269398755"
"1645228800","43376438.053506814","130129.31416052044"
"1645142400","84177649.32291374","252532.94796874124"
"1645056000","107639175.31763369","322917.52595290105"
"1644969600","65890824.75438064","197672.47426314195"
"1644883200","64684436.67499621","194053.31002498863"
"1644796800","58252134.98781645","174756.40496344937"
"1644710400","46767756.16949805","140303.26850849416"
"1644624000","84188599.31185634","252565.79793556902"
"1644537600","137580631.10726917","412741.89332180755"
"1644451200","131953798.72877823","395861.39618633466"
"1644364800","69314524.98381948","207943.57495145843"
"1644278400","92581149.764328","277743.449292984"
"1644192000","79337094.38653567","238011.28315960703"
"1644105600","45790130.03385944","137370.39010157832"
"1644019200","61204090.24031206","183612.27072093618"
"1643932800","91399335.5098155","274198.0065294465"
"1643846400","78237307.54492292","234711.92263476874"
"1643760000","92016287.73501809","276048.8632050543"
"1643673600","97642183.69854328","292926.55109562987"
"1643587200","66116897.86971955","198350.69360915865"
"1643500800","57991165.49774678","173973.49649324035"
"1643414400","62464423.11230111","187393.26933690332"
"1643328000","108111329.63471404","324333.9889041421"
"1643241600","145031209.4844734","435093.6284534202"
"1643155200","162093164.97757614","486279.49493272847"
"1643068800","108343931.61716019","325031.7948514806"
"1642982400","236581110.82670423","709743.3324801127"
"1642896000","58394600.38824733","175183.801164742"
"1642809600","270534287.50685716","811602.8625205716"
"1642723200","464395042.4799869","1393185.1274399608"
"1642636800","93801155.99263065","281403.46797789197"
"1642550400","72355935.2315743","217067.8056947229"
"1642464000","87310854.17333554","261932.5625200066"
"1642377600","66407776.86702068","199223.33060106204"
"1642291200","48096124.51808347","144288.3735542504"
"1642204800","29864034.18064756","89592.10254194269"
"1642118400","59044980.92563417","177134.9427769025"
"1642032000","67493277.41462953","202479.83224388858"
"1641945600","62103816.15594012","186311.4484678204"
"1641859200","74331085.44005789","222993.25632017368"
"1641772800","114081784.52825381","342245.35358476144"
"1641686400","34607595.33325354","103822.78599976063"
"1641600000","91412986.6913625","274238.9600740875"
"1641513600","229187844.5562554","687563.5336687663"
"1641427200","205440131.2492647","616320.3937477941"
"1641340800","185188580.37884888","555565.7411365467"
"1641254400","57048224.83541067","171144.674506232"
"1641168000","43354339.58898846","130063.01876696538"
"1641081600","33421708.693304215","100265.12607991265"
"1640995200","45705802.26196465","137117.40678589395"
"1640908800","99074208.1153021","297222.6243459063"
"1640822400","55340057.73519387","166020.1732055816"
"1640736000","61528262.685275875","184584.7880558276"
"1640649600","101539975.66375884","304619.9269912765"
"1640563200","36117912.81354436","108353.73844063308"
"1640476800","43939840.973646484","131819.52292093946"
"1640390400","61686840.46313219","185060.52138939657"
"1640304000","67070455.844796844","201211.36753439053"
"1640217600","102332850.2164624","306998.5506493872"
"1640131200","70403583.33514059","211210.75000542175"
"1640044800","87429410.51548524","262288.2315464557"
"1639958400","158005218.5169911","474015.6555509733"
"1639872000","122671443.53785284","368014.33061355853"
"1639785600","135713322.0816276","407139.96624488285"
"1639699200","204521755.6190546","613565.2668571637"
"1639612800","131959416.81755733","395878.250452672"
"1639526400","206929716.48654506","620789.1494596351"
"1639440000","117671329.25516349","353013.9877654905"
"1639353600","212497559.19509524","637492.6775852857"
"1639267200","77493070.05737339","232479.21017212016"
"1639180800","185854333.28393614","557562.9998518084"
"1639094400","257240428.6550913","771721.2859652739"
"1639008000","198367119.29304546","595101.3578791365"
"1638921600","152708438.26168337","458125.3147850501"
"1638835200","127039765.08691618","381119.29526074853"
"1638748800","239006973.09362093","717020.9192808628"
"1638662400","167680485.3385289","503041.4560155867"
"1638576000","381571717.3509758","1144715.1520529273"
"1638489600","222375482.54337832","667126.447630135"
"1638403200","190108078.2733842","570324.2348201526"
"1638316800","196747734.60114205","590243.2038034261"
"1638230400","257801061.06388298","773403.1831916489"
"1638144000","78998058.50627907","236994.1755188372"
"1638057600","84398463.89563437","253195.39168690308"
"1637971200","46759166.78750817","140277.5003625245"
"1637884800","153594945.33744675","460784.8360123402"
"1637798400","90728410.08461894","272185.2302538568"
"1637712000","79875323.11199334","239625.96933598004"
"1637625600","103868001.28947218","311604.00386841653"
"1637539200","94828111.08485073","284484.3332545522"
"1637452800","83250632.97337298","249751.89892011893"
"1637366400","55566784.668920934","166700.35400676282"
"1637280000","68336178.43317084","205008.53529951253"
"1637193600","120266252.84548463","360798.7585364539"
"1637107200","106617101.18590124","319851.30355770374"
"1637020800","193042010.83393928","579126.0325018179"
"1636934400","63701504.7090217","191104.5141270651"
"1636848000","60069042.11655548","180207.12634966645"
"1636761600","32583030.903089736","97749.09270926921"
"1636675200","128112982.30592199","384338.94691776595"
"1636588800","60739551.74699035","182218.65524097104"
"1636502400","155727908.10220492","467183.7243066148"
"1636416000","75867249.88201952","227601.74964605854"
"1636329600","53684303.45417468","161052.91036252404"
"1636243200","49075953.30377592","147227.85991132777"
"1636156800","68379476.84643179","205138.43053929537"
"1636070400","60965526.95416894","182896.58086250682"
"1635984000","86391131.18190138","259173.3935457041"
"1635897600","101165725.27271074","303497.17581813224"
"1635811200","88821017.39088303","266463.05217264907"
"1635724800","85212021.254438","255636.063763314"
"1635638400","83349925.86947875","250049.77760843627"
"1635552000","81343614.0957481","244030.84228724428"
"1635465600","101979469.09526874","305938.40728580626"
"1635379200","154311870.69819343","462935.6120945803"
"1635292800","228061536.85399565","684184.6105619869"
"1635206400","104085483.3895507","312256.4501686521"
"1635120000","56258135.088219576","168774.40526465874"
"1635033600","97189045.45060958","291567.13635182875"
"1634947200","88238066.05403459","264714.19816210377"
"1634860800","125953048.51742324","377859.1455522697"
"1634774400","232709828.7517864","698129.4862553593"
"1634688000","108502161.31014897","325506.4839304469"
"1634601600","73939760.98423883","221819.2829527165"
"1634515200","116307042.67219451","348921.1280165835"
"1634428800","97365218.18696679","292095.6545609004"
"1634342400","96379455.13464715","289138.3654039414"
"1634256000","88518070.3066949","265554.2109200847"
"1634169600","87908438.6242728","263725.3158728184"
"1634083200","78457637.72308514","235372.9131692554"
"1633996800","132209132.12859982","396627.39638579945"
"1633910400","97899368.46464743","293698.10539394227"
"1633824000","91324515.96667235","273973.54790001706"
"1633737600","41592154.28821082","124776.46286463246"
"1633651200","95412460.0682097","286237.38020462904"
"1633564800","132297173.7744254","396891.5213232762"
"1633478400","158412336.3480987","475237.0090442961"
"1633392000","75830763.69878007","227492.29109634022"
"1633305600","135941582.35248655","407824.7470574596"
